gene_symbol,chromosome,start,species
MFSD14A,1,100038095,human
SASS6,1,100083570,human
TRMT13,1,100133215,human
LRRC39,1,100148853,human
DBT,1,100210543,human
RTCA,1,100266289,human
CDC14A,1,100363161,human
GPR88,1,100538139,human
VCAM1,1,100719764,human
EXTL2,1,100872372,human
SLC30A7,1,100961828,human
DPH5,1,100990358,human
S1PR1,1,101238335,human
ISG15,1,1013497,human
UBE4B,1,10158354,human
OLFM3,1,101803486,human
COL11A1,1,102876467,human
AGRN,1,1034106,human
KIF1B,1,10352664,human
RNPC3,1,103551724,human
AMY2B,1,103571589,human
AMY2A,1,103617427,human
AMY1A,1,103656018,human
AMY1B,1,103694980,human
AMY1C,1,103750406,human
PGD,1,10399632,human
CENPS,1,10431123,human
CENPS-CORT,1,10431258,human
CORT,1,10450031,human
DFFA,1,10462468,human
PEX14,1,10474982,human
CASZ1,1,10647213,human
PRMT6,1,107056902,human
RNF223,1,1070967,human
NTNG1,1,107148594,human
VAV3,1,107668963,human
SLC25A24,1,108198493,human
NBPF4,1,108223705,human
NBPF6,1,108450282,human
FAM102B,1,108560100,human
HENMT1,1,108648800,human
PRPF38B,1,108692341,human
FNDC7,1,108722411,human
STXBP3,1,108746674,human
AKNAD1,1,108837660,human
GPSM2,1,108901904,human
CLCC1,1,108944033,human
WDR47,1,109013850,human
TAF13,1,109064463,human
TMEM167B,1,109090773,human
C1ORF194,1,109105955,human
C1ORF159,1,1091500,human
ELAPOR1,1,109200191,human
SARS1,1,109213982,human
CELSR2,1,109249539,human
PSRC1,1,109279557,human
MYBPHL,1,109292365,human
SORT1,1,109309568,human
PSMA5,1,109402013,human
C1ORF127,1,10946473,human
SYPL2,1,109466546,human
ATXN7L2,1,109483954,human
CYB561D1,1,109494115,human
AMIGO1,1,109507068,human
GPR61,1,109539928,human
GNAI3,1,109548615,human
GNAT2,1,109608721,human
AMPD2,1,109624039,human
GSTM4,1,109656390,human
GSTM2,1,109668036,human
GSTM1,1,109687858,human
GSTM5,1,109712313,human
GSTM3,1,109733932,human
EPS8L3,1,109751533,human
CSF1,1,109910986,human
AHCYL1,1,109984765,human
STRIP1,1,110034632,human
ALX3,1,110060397,human
UBL4B,1,110112443,human
SLC6A17,1,110150494,human
KCNC4,1,110223830,human
TARDBP,1,11023198,human
RBM15,1,110339466,human
SLC16A4,1,110375036,human
LAMTOR5,1,110401257,human
MASP2,1,11044798,human
PROK1,1,110451149,human
KCNA10,1,110517217,human
SRM,1,11056702,human
KCNA2,1,110603061,human
KCNA3,1,110672465,human
CD53,1,110873148,human
EXOSC10,1,11091503,human
LRIF1,1,110947222,human
MTOR,1,11109303,human
DRAM2,1,111118213,human
CEPT1,1,111140223,human
DENND2D,1,111187174,human
CHI3L2,1,111238927,human
CHIA,1,111310374,human
PIFO,1,111346620,human
OVGP1,1,111414319,human
WDR77,1,111441228,human
ATP5PB,1,111449484,human
C1ORF162,1,111473984,human
TMIGD3,1,111485315,human
ADORA3,1,111499828,human
RAP1A,1,111619789,human
INKA2,1,111727344,human
DDX20,1,111755930,human
KCND3,1,111775809,human
ANGPTL7,1,11189355,human
CTTNBP2NL,1,112396519,human
WNT2B,1,112508965,human
ST7L,1,112583972,human
CAPZA1,1,112619832,human
MOV10,1,112675486,human
